,v_e,r_v_e,m_e,r_m_e,t_sigma,s_sigma
0,371.62537,0.06135131,8576.215,19.118692,1,0.1
1,404.1947,0.050440308,6259.4927,14.109488,1,0.1
2,255.2605,0.0405743,7346.676,15.884778,1,0.1
3,165.30634,0.030019734,2559.216,6.360461,1,0.1
4,300.6006,0.057941735,2183.5227,4.984227,1,0.1
5,389.62512,0.054368313,4915.0728,10.192462,1,0.1
6,160.17603,0.027670301,3392.14,8.690267,1,0.1
7,133.00842,0.023935163,2232.393,5.52582,1,0.1
8,307.1778,0.06007491,2584.8447,5.9738812,1,0.1
9,157.0044,0.024146726,6358.3057,14.8972845,1,0.1
10,214.26959,0.04022758,1950.5859,4.800535,1,0.1
11,115.71881,0.020968972,1892.013,4.3716707,1,0.1
12,249.88696,0.037938554,8215.048,19.335598,1,0.1
13,211.6847,0.03216242,5936.283,13.144268,1,0.1
14,280.5055,0.047443517,5001.3965,12.037259,1,0.1
15,37.2782,0.0050036665,4871.8994,11.192645,1,0.1
16,66.526245,0.008790947,4906.7964,11.123303,1,0.1
17,495.30847,0.068382666,5301.616,12.444915,1,0.1
18,343.64624,0.06364636,3619.487,8.450804,1,0.1
19,37.30481,0.005235651,3322.6587,7.762958,1,0.1
20,175.13684,0.030108623,4352.2935,9.951335,1,0.1
21,200.89221,0.03271774,7040.237,15.719052,1,0.1
22,70.582275,0.010380761,6527.203,16.331879,1,0.1
23,314.5492,0.049861383,7721.971,16.257978,1,0.1
24,36.94751,0.005285714,2397.4558,5.3854938,1,0.1
25,163.72546,0.030048871,1777.8362,4.3105516,1,0.1
26,814.51514,0.1281304,5268.521,10.938241,1,0.1
27,258.82324,0.05011218,2934.7935,6.3626,1,0.1
28,355.3922,0.07167075,4426.5977,9.160645,1,0.1
29,147.31458,0.024038855,6050.079,12.436755,1,0.1
30,347.484,0.061189972,3750.184,8.714551,1,0.1
31,102.13794,0.01828591,1479.075,3.2427492,1,0.1
32,0.37213135,6.4737505e-05,558.02527,1.2203517,1,0.1
33,38.03369,0.005584715,3609.5845,8.737787,1,0.1
34,31.037048,0.0055690915,939.21576,2.2940776,1,0.1
35,29.607666,0.004217142,1940.7916,4.7817087,1,0.1
36,143.0398,0.023064733,5117.168,10.524344,1,0.1
37,222.93274,0.03931632,3124.4836,7.323334,1,0.1
38,47.672974,0.0068470156,4868.073,11.587354,1,0.1
39,100.173645,0.018886114,1969.0281,4.1553583,1,0.1
40,6.5560913,0.0011289716,911.9024,2.1925845,1,0.1
41,268.46875,0.042142753,8187.3984,19.586346,1,0.1
42,213.86609,0.035873078,4222.927,9.550202,1,0.1
43,95.041016,0.015285593,5528.986,12.16538,1,0.1
44,99.41809,0.013710379,6589.8506,15.551178,1,0.1
45,74.36853,0.009500148,7486.6924,18.28284,1,0.1
46,0.25720215,4.1518313e-05,813.5526,1.8026122,1,0.1
47,4.220459,0.00063202134,1294.4402,3.0969698,1,0.1
48,90.16278,0.016253611,1789.2346,4.2003036,1,0.1
49,27.544067,0.0039844364,2170.2434,4.898449,1,0.1
0,327.74304,0.054106817,8556.15,17.207043,1,1.0
1,436.6006,0.054484304,6709.6724,13.90348,1,1.0
2,232.06482,0.036887288,8385.208,16.41007,1,1.0
3,125.02289,0.022704234,2189.983,4.725276,1,1.0
4,246.21997,0.047459695,3665.666,7.5358663,1,1.0
5,1353.4065,0.18885443,4986.772,9.546461,1,1.0
6,121.67529,0.021019327,2981.3916,6.752811,1,1.0
7,76.078186,0.01369044,1728.6387,3.8597806,1,1.0
8,275.55,0.053889442,3667.1963,7.6517158,1,1.0
9,124.69946,0.01917834,5934.152,11.591627,1,1.0
10,182.98181,0.034353524,2629.7039,5.5726976,1,1.0
11,96.12799,0.017418994,1878.153,3.6417596,1,1.0
12,217.44214,0.03301269,7698.1177,15.5175,1,1.0
13,209.16711,0.03177991,4746.2666,9.447249,1,1.0
14,273.65063,0.046284117,5304.596,10.65241,1,1.0
15,60.81189,0.008162476,4340.309,8.308752,1,1.0
16,85.70886,0.011325787,4486.5337,8.368035,1,1.0
17,484.85168,0.06693899,5141.6196,11.2676525,1,1.0
18,303.3275,0.05617897,4752.738,9.356189,1,1.0
19,42.59778,0.005978508,3167.3608,6.523077,1,1.0
20,160.58044,0.027606161,3678.1587,7.2947392,1,1.0
21,179.7959,0.029281948,6687.4546,13.664403,1,1.0
22,57.15918,0.008406583,6222.6807,14.458289,1,1.0
23,341.6543,0.054158002,6577.748,12.211089,1,1.0
24,43.239258,0.006185812,2675.494,5.378514,1,1.0
25,118.31677,0.02171492,1734.3492,3.7675683,1,1.0
26,82.17859,0.012927416,3878.9014,7.3002577,1,1.0
27,233.3125,0.045172907,3645.1748,6.856949,1,1.0
28,322.7141,0.065080665,5282.886,10.429501,1,1.0
29,113.30298,0.018488828,4732.3706,8.982801,1,1.0
30,300.4757,0.052912075,5638.419,11.665354,1,1.0
31,59.09326,0.010579556,1263.3147,2.580558,1,1.0
32,0.3770752,6.559756e-05,769.87634,1.4429684,1,1.0
33,59.859375,0.008789511,3501.3784,7.467736,1,1.0
34,4.1289062,0.0007408648,1105.7,2.3102136,1,1.0
35,31.371216,0.0044683316,1835.4746,3.9704337,1,1.0
36,128.75073,0.020760665,3839.54,7.437299,1,1.0
37,212.31616,0.037443984,3660.7178,7.9361353,1,1.0
38,15.71936,0.0022576882,4545.0864,9.455728,1,1.0
39,34.692566,0.00654072,1555.2429,2.9330304,1,1.0
40,0.8305664,0.00014302513,932.2245,1.887865,1,1.0
41,313.5559,0.04922029,6613.3047,13.676105,1,1.0
42,194.8628,0.03268554,3644.0,7.6459484,1,1.0
43,58.300293,0.009376527,4118.454,8.012293,1,1.0
44,189.65967,0.026155258,4787.8955,10.050882,1,1.0
45,87.69519,0.011202551,6297.661,13.357558,1,1.0
46,0.3128662,5.0503764e-05,752.8618,1.4233441,1,1.0
47,5.0369873,0.00075429794,1187.6036,2.6593487,1,1.0
48,43.69867,0.007877543,1776.0682,3.4488697,1,1.0
49,31.378662,0.004539137,2073.4644,4.139147,1,1.0
0,336.3401,0.055526093,9306.774,18.67971,1,10.0
1,456.19946,0.05693009,6507.539,13.463795,1,10.0
2,248.55981,0.03950921,8292.512,16.194996,1,10.0
3,118.74518,0.021564199,2048.1099,4.404903,1,10.0
4,439.47192,0.08470963,1836.482,3.767902,1,10.0
5,424.07275,0.059175137,4358.1934,8.329757,1,10.0
6,131.37134,0.022694312,2715.0503,6.1299734,1,10.0
