,dataset,model,accuracy,fscore,time
0,ArrowHead,lddmm,0.4375,0.4488536155202822,118.0919544696808
1,BME,lddmm,0.7142857142857143,0.7028388278388279,77.47906637191772
2,ECG200,lddmm,0.8333333333333334,0.8074454428754814,85.18892645835876
3,FacesUCR,lddmm,0.3136094674556213,0.2752964708481636,929.1860625743866
4,GunPoint,lddmm,0.7333333333333333,0.7321428571428572,89.65371465682983
5,PhalangesOutlinesCorrect,lddmm,0.6390977443609023,0.3899082568807339,1570.3698391914368
6,Trace,lddmm,0.4,0.3749277038750722,107.04689478874208
7,Cricket,lddmm,0.6428571428571429,0.6027777777777777,692.984379529953
8,ERing,lddmm,0.8888888888888888,0.8947089947089948,118.03202056884766
9,Handwriting,lddmm,0.12,0.102356831202985,432.2377510070801
10,Libras,lddmm,0.3818181818181818,0.3736604136604136,122.66106390953064
11,NATOPS,lddmm,0.8,0.7982456140350876,151.195739030838
12,RacketSports,lddmm,0.4782608695652174,0.4469599028422557,107.4841775894165
13,UWaveGestureLibrary,lddmm,0.696969696969697,0.6919730392156862,244.75657320022583
14,ArticularyWordRecognition,lddmm,0.9655172413793104,0.9646984126984128,274.19658041000366
15,ArrowHead,ts-lddmm,0.90625,0.9073153899240856,105.75159406661987
16,BME,ts-lddmm,0.9642857142857144,0.9649122807017544,74.921879529953
17,ECG200,ts-lddmm,0.8333333333333334,0.7948016415868673,79.72459816932678
18,FacesUCR,ts-lddmm,0.5473372781065089,0.505987405737313,960.6048696041108
19,GunPoint,ts-lddmm,0.8,0.7963800904977376,79.41348028182983
20,PhalangesOutlinesCorrect,ts-lddmm,0.6390977443609023,0.3899082568807339,984.4949934482574
21,Trace,ts-lddmm,0.8333333333333334,0.8128342245989305,102.05763030052184
22,Cricket,ts-lddmm,0.9285714285714286,0.9297619047619048,679.5798182487488
23,ERing,ts-lddmm,0.8888888888888888,0.894000933706816,185.4769368171692
24,Handwriting,ts-lddmm,0.1666666666666666,0.1440941626313143,646.468597650528
25,Libras,ts-lddmm,0.4545454545454545,0.4506878306878307,189.09558367729187
26,NATOPS,ts-lddmm,0.8181818181818182,0.8133844712792081,211.5347385406494
27,RacketSports,ts-lddmm,0.3478260869565217,0.3430230787967361,160.5556445121765
28,UWaveGestureLibrary,ts-lddmm,0.8484848484848485,0.83913580614432,335.5303971767425
29,ArticularyWordRecognition,ts-lddmm,0.9885057471264368,0.9875555555555556,385.69526743888855
